state,mean,.upper,.lower,rep.name,dem.name
AZ,0.6678581,8.794813,-7.493841,Lake,Hobbs
KS,0.7722702,9.647881,-8.043503,Schmidt,Kelly
NV,2.20726,10.8618,-6.512587,Lombardo,Sisolak
WI,3.547585,13.0385,-5.850851,Michels,Evers
OR,4.050316,14.05214,-6.110828,Drazan,Kotek
GA,-6.140625,2.105755,-14.48984,Kemp,Abrams
PA,6.589111,14.79165,-1.70499,Mastriano,Shapiro
NM,6.754261,15.924,-2.394775,Ronchetti,Lujan Grisham
ME,6.86755,15.91308,-2.248133,LePage,Mills
MI,9.503399,18.32405,0.7290936,Dixon,Whitmer
MN,9.532021,18.6998,0.3668518,Jensen,Walz
FL,-10.26424,-1.600973,-18.92694,DeSantis,Crist
CT,10.45946,19.62067,1.421968,Stefanowski,Lamont
TX,-12.15443,-3.205158,-21.20631,Abbott,O'Rourke
CO,13.48212,22.62538,4.327904,Ganahl,Polis
SC,-15.56004,-5.856758,-25.45057,McMaster,Cunningham
OH,-15.7094,-6.747208,-24.69436,DeWine,Whaley
MD,15.71223,26.6548,4.824648,Cox,Moore
RI,16.16313,26.86755,5.463715,Kalus,McKee
AK,-16.56296,-1.038731,-32.32625,Dunleavy,Pierce
IL,16.78045,25.47444,7.993298,Bailey,Pritzker
NY,18.88313,27.82514,10.04096,Zeldin,Hochul
IA,-19.40645,-9.394081,-29.32197,Reynolds,DeJear
OK,-20.7578,-10.32753,-31.22274,Stitt,Hofmeister
NH,-21.86061,-12.96023,-30.87388,Sununu,Sherman
NE,-22.75486,-12.0929,-33.46543,Pillen,Blood
VT,-22.93711,-9.961412,-36.08582,Scott,Siegel
MA,23.28672,33.01093,13.38766,Diehl,Healey
CA,25.12634,34.29552,15.98779,Dahle,Newsom
AR,-26.16849,-16.59381,-35.64578,Sanders,Jones
HI,26.52121,37.47778,15.45725,Aiona,Green
TN,-28.01066,-17.41685,-38.57989,Lee,Martin
AL,-31.56763,-20.95397,-42.16061,Ivey,Flowers
SD,-32.12478,-21.43767,-42.94568,Noem,Smith
ID,-34.27721,-23.57797,-44.81803,Little,Heidt
WY,-34.42824,-23.56699,-45.29809,Gordon,Livingston